label,kind,count,cmc_mean,cmc_median,cmc_p25,cmc_p75,cmc_std,cheap_frac_<=2,heavy_frac_>=6,instant_frac,sorcery_frac,creature_frac,permanent_frac,persistence_mean,persistence_median,edhrec_median,edhrec_p25,edhrec_p75,is_land_frac,is_land_count,is_ramp_frac,is_ramp_count,is_card_draw_frac,is_card_draw_count,is_board_wipe_frac,is_board_wipe_count,is_removal_frac,is_removal_count,is_game_changer_frac,is_game_changer_count,is_mass_land_denial_frac,is_mass_land_denial_count,is_extra_turn_frac,is_extra_turn_count,is_nonland_tutor_frac,is_nonland_tutor_count,is_permanent_card_frac,is_permanent_card_count,has_persistent_output_frac,has_persistent_output_count,cmc_mean_z_global
spell_payoff,role,283,3.3568904593639575,3.0,2.0,4.0,1.3251495863348384,0.2862190812720848,0.0636042402826855,0.01060070671378092,0.01060070671378092,0.7597173144876325,0.9787985865724381,1.1908127208480566,1.0,12262.0,5217.0,18130.0,0.0,0,0.1166077738515901,33,0.127208480565371,36,0.0,0,0.007067137809187279,2,0.0,0,0.0,0,0.0035335689045936395,1,0.0,0,0.9752650176678446,276,0.21554770318021202,61,-0.029737246648998007
spot_removal_any,role,50,4.6,5.0,3.0,6.0,2.630589287593181,0.24,0.36,0.24,0.06,0.34,0.7,0.82,1.0,5747.0,2311.0,14314.0,0.0,0,0.06,3,0.06,3,0.0,0,1.0,50,0.0,0,0.0,0,0.02,1,0.0,0,0.7,35,0.12,6,0.7153997415553249
spot_removal_creature,role,531,3.4425612052730696,3.0,2.0,5.0,1.6484873604926453,0.3145009416195857,0.10734463276836158,0.3672316384180791,0.224105461393597,0.2504708097928437,0.4086629001883239,0.5649717514124294,0.0,14765.0,7732.0,21020.0,0.005649717514124294,3,0.026365348399246705,14,0.064030131826742,34,0.0018832391713747645,1,0.9981167608286252,530,0.0,0,0.0,0,0.0,0,0.013182674199623353,7,0.3992467043314501,212,0.1657250470809793,88,0.02161497895717945
spot_removal_noncreature,role,353,2.9858356940509916,3.0,2.0,4.0,1.4428972059510103,0.4164305949008499,0.053824362606232294,0.34277620396600567,0.19263456090651557,0.39660056657223797,0.46458923512747874,0.5524079320113314,1.0,14603.0,6764.5,20567.0,0.0028328611898017,1,0.042492917847025496,15,0.09915014164305949,35,0.0028328611898017,1,0.9971671388101983,352,0.0,0,0.0,0,0.0,0,0.0028328611898017,1,0.45892351274787535,162,0.09348441926345609,33,-0.25215258596229756
storm_piece,role,68,3.676470588235294,4.0,2.75,5.0,1.6929019330774306,0.25,0.11764705882352941,0.3235294117647059,0.5147058823529411,0.10294117647058823,0.16176470588235295,0.3235294117647059,0.0,13040.5,5617.75,20223.25,0.0,0,0.014705882352941176,1,0.058823529411764705,4,0.0,0,0.058823529411764705,4,0.0,0,0.0,0,0.0,0,0.04411764705882353,3,0.16176470588235295,11,0.16176470588235295,11,0.1618234862815017
tap_freeze,role,97,2.9381443298969074,3.0,2.0,4.0,1.1649028364392193,0.3402061855670103,0.010309278350515464,0.0,0.0,0.16494845360824742,1.0,1.0103092783505154,1.0,22398.0,17728.0,27348.0,0.010309278350515464,1,0.0,0,0.041237113402061855,4,0.0,0,0.020618556701030927,2,0.0,0,0.010309278350515464,1,0.0,0,0.0,0,0.9896907216494846,96,0.020618556701030927,2,-0.28073944680397966
token_engine,role,2028,3.539940828402367,3.0,2.0,5.0,1.6253909851130859,0.252465483234714,0.10897435897435898,0.011341222879684419,0.029092702169625246,0.6158777120315582,0.9595660749506904,1.9245562130177514,2.0,8602.0,4439.5,13908.5,0.035009861932938854,71,0.1908284023668639,387,0.13264299802761342,269,0.0014792899408284023,3,0.03353057199211045,68,0.0,0,0.0,0,0.0,0,0.014792899408284023,30,0.9245562130177515,1875,1.0,2028,0.07998566691273186
token_maker_once,role,1229,3.6720911310008137,3.0,2.0,5.0,1.6935364431059678,0.25223759153783565,0.14564686737184704,0.17656631407648496,0.2986167615947925,0.3799837266069976,0.5248169243287225,1.5231895850284785,2.0,12696.0,7264.0,18274.0,0.0,0,0.0984540276647681,121,0.10333604556550041,127,0.007323026851098454,9,0.07892595606183889,97,0.0,0,0.0,0,0.0024410089503661514,3,0.015459723352318959,19,0.5231895850284785,643,1.0,1229,0.1591983792680035
treasure_burst,role,136,3.411764705882353,3.0,2.0,4.0,1.655963324736382,0.3161764705882353,0.10294117647058823,0.16176470588235295,0.23529411764705882,0.4117647058823529,0.6029411764705882,1.6029411764705883,2.0,8471.0,3533.75,13216.75,0.0,0,0.8235294117647058,112,0.17647058823529413,24,0.007352941176470588,1,0.125,17,0.0,0,0.0,0,0.0,0,0.022058823529411766,3,0.6029411764705882,82,1.0,136,0.0031551328590682893
treasure_engine,role,166,3.1987951807228914,3.0,2.0,4.0,1.4236381339238973,0.27710843373493976,0.04216867469879518,0.006024096385542169,0.012048192771084338,0.6867469879518072,0.9819277108433735,1.9457831325301205,2.0,4587.0,2135.0,9309.0,0.03614457831325301,6,0.8734939759036144,145,0.14457831325301204,24,0.0,0,0.018072289156626505,3,0.0,0,0.0,0,0.0,0,0.018072289156626505,3,0.9457831325301205,157,1.0,166,-0.12450173515550002
tutor_any,role,687,3.564774381368268,4.0,2.0,5.0,1.8957039994705414,0.29112081513828236,0.15283842794759825,0.06695778748180495,0.23871906841339155,0.462882096069869,0.6943231441048034,0.7190684133915575,1.0,8989.0,3312.5,16676.0,0.06986899563318777,48,0.14410480349344978,99,0.050946142649199416,35,0.0,0,0.026200873362445413,18,0.0,0,0.0,0,0.0,0,1.0,687,0.6259097525473072,430,0.09315866084425037,64,0.09487124075681665
unearth_piece,role,61,4.098360655737705,4.0,3.0,5.0,1.8791776892992917,0.22950819672131148,0.2459016393442623,0.0,0.0,0.9344262295081968,1.0,1.1475409836065573,1.0,13969.0,8392.0,20586.0,0.0,0,0.0,0,0.14754098360655737,9,0.0,0,0.03278688524590164,2,0.0,0,0.0,0,0.0,0,0.01639344262295082,1,1.0,61,0.14754098360655737,9,0.41471020621707405
x_spell,role,767,2.5410691003911343,2.0,1.0,3.0,1.885391698220975,0.6192959582790091,0.05867014341590613,0.18122555410691005,0.3376792698826597,0.3376792698826597,0.48239895697522817,0.6753585397653195,1.0,10965.0,5608.0,18272.5,0.010430247718383311,8,0.13559322033898305,104,0.07692307692307693,59,0.009126466753585397,7,0.0560625814863103,43,0.0,0,0.0,0,0.0,0,0.028683181225554105,22,0.47979139504563234,368,0.19556714471968709,150,-0.5187518109059286
